index	artwork_url	caption	commentable	comment_count	created_at	description	downloadable	download_count	duration	full_duration	embeddable_by	genre	has_downloads_left	id	kind	label_name	last_modified	license	likes_count	permalink	permalink_url	playback_count	public	publisher_metadata	purchase_title	purchase_url	release_date	reposts_count	secret_token	sharing	state	streamable	tag_list	title	track_format	uri	urn	user_id	visuals	waveform_url	display_date	station_urn	station_permalink	track_authorization	monetization_model	policy	media.transcodings	publisher_metadata.id	publisher_metadata.urn	publisher_metadata.artist	publisher_metadata.album_title	publisher_metadata.contains_music	publisher_metadata.publisher	publisher_metadata.upc_or_ean	publisher_metadata.isrc	publisher_metadata.explicit	publisher_metadata.writer_composer	publisher_metadata.release_title
0	https://i1.sndcdn.com/artworks-000027511321-dw6695-large.jpg		True	61	2012-07-29T08:33:56Z		True	201	50409	50409	all		False	54462448	track		2020-10-28T14:56:04Z	all-rights-reserved	258	miss-rwanda-celebrations-on	https://soundcloud.com/emil/miss-rwanda-celebrations-on	9978	True					29		public	finished	True	soundcloud:source=iphone-record	Miss Rwanda celebrations on the way back to Kigali	single-track	https://api.soundcloud.com/tracks/54462448	soundcloud:tracks:54462448	6		https://wave.sndcdn.com/LcyRidlvii5W_m.json	2012-07-29T08:33:56Z	soundcloud:system-playlists:track-stations:54462448	track-stations:54462448	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjdhZjhmZjViLWQ4N2MtNDhiYy05ZTJhLTI3OWZhOGY3ZjdlMyIsImlhdCI6MTYzNTk1MjAwMX0.Sz3bqkF7rTWrg2FMXr7ztuW7o9BQ-eUeHtZZjWywwmE	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:54462448/0d22bc67-6db9-4270-94d7-de7fdf604018/stream/hls', 'preset': 'mp3_0_0', 'duration': 50409, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:54462448/0d22bc67-6db9-4270-94d7-de7fdf604018/stream/progressive', 'preset': 'mp3_0_0', 'duration': 50409, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
1	https://i1.sndcdn.com/artworks-000026286925-qikws6-large.jpg		True	37	2012-07-07T22:07:37Z		True	101	42177	42177	all		False	52109081	track		2020-04-10T17:16:00Z	all-rights-reserved	138	karaoke-night-in-mombasa-at	https://soundcloud.com/emil/karaoke-night-in-mombasa-at	5622	True					15		public	finished	True	soundcloud:source=iphone-record geo:lat=-3.994859 geo:lon=39.734189 foursquare:venue=4b75f900f964a5204f332ee3	Karaoke night in Mombasa    at Sarova Whitesands Beach Resort & Spa Mombasa	single-track	https://api.soundcloud.com/tracks/52109081	soundcloud:tracks:52109081	6		https://wave.sndcdn.com/xyt7dYcpT86T_m.json	2012-07-07T22:07:37Z	soundcloud:system-playlists:track-stations:52109081	track-stations:52109081	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImU0N2U1NzYyLTc4MmMtNGQwYS04YWM2LTMwNTkwOWJjNjI1OCIsImlhdCI6MTYzNTk1MjAwMX0.gcvP8Ixgfe64KnSjx6rui2DnW0ZOE4fOxBzR2zwGM00	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:52109081/82ea3755-382f-47e0-a224-ee65c37ddacf/stream/hls', 'preset': 'mp3_0_0', 'duration': 42177, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:52109081/82ea3755-382f-47e0-a224-ee65c37ddacf/stream/progressive', 'preset': 'mp3_0_0', 'duration': 42177, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
2			True	16	2008-12-04T13:34:28Z	experimental noisy track	True	52	141348	141348	all	experimental/noise	True	79966	track	filip	2018-10-30T10:32:55Z	all-rights-reserved	52	sick-noise	https://soundcloud.com/filip/sick-noise	991	True					4		public	finished	True	experimental noise dark ambient	sick noise	single-track	https://api.soundcloud.com/tracks/79966	soundcloud:tracks:79966	10		https://wave.sndcdn.com/ZWfuPdFLk7VW_m.json	2008-12-04T13:34:28Z	soundcloud:system-playlists:track-stations:79966	track-stations:79966	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjllNmY5YmU4LTkwMTctNGZiMC05NThiLWIxMmRhMDgzODRiNiIsImlhdCI6MTYzNTk1MjAwNX0.2WgBK9m6WITz3YhHmN3amy4dsqIyy_qDECe-6DdepTI	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:79966/0afa3f07-ba93-4ff9-9720-64298ac59cff/stream/hls', 'preset': 'mp3_0_0', 'duration': 141348, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:79966/0afa3f07-ba93-4ff9-9720-64298ac59cff/stream/progressive', 'preset': 'mp3_0_0', 'duration': 141348, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
3			True	9	2008-09-03T22:06:47Z		True	43	180636	180636	all	experimental	True	23867	track		2013-07-05T09:57:09Z	all-rights-reserved	45	mork	https://soundcloud.com/filip/mork	680	True					5		public	finished	True		mörk	single-track	https://api.soundcloud.com/tracks/23867	soundcloud:tracks:23867	10		https://wave.sndcdn.com/80hM21YFCChS_m.json	2008-09-03T22:06:47Z	soundcloud:system-playlists:track-stations:23867	track-stations:23867	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjU2MWYxNjdiLTBmOGQtNDRmYy1hYmY0LWVmYTdhZTA3ZDRmMCIsImlhdCI6MTYzNTk1MjAwNX0.5ZlUQvu5EumoRjjrS6Rs5-iJt16kDXJUD8vA_2Td4As	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:23867/660f3e0f-d873-4e82-9d8f-cc59fc8132fd/stream/hls', 'preset': 'mp3_0_0', 'duration': 180636, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:23867/660f3e0f-d873-4e82-9d8f-cc59fc8132fd/stream/progressive', 'preset': 'mp3_0_0', 'duration': 180636, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
4			True	7	2007-11-26T13:16:09Z	Experimental stuff...	True	35	131690	131690	all		True	1293	track		2019-03-29T05:12:51Z	all-rights-reserved	28	condensator	https://soundcloud.com/filip/condensator	649	True					3		public	finished	True		condensator	single-track	https://api.soundcloud.com/tracks/1293	soundcloud:tracks:1293	10		https://wave.sndcdn.com/EAlFr95WDolW_m.json	2007-11-26T13:16:09Z	soundcloud:system-playlists:track-stations:1293	track-stations:1293	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjJhZmIzZjRmLTkwMGQtNDQyYS1hMWQwLTZjYTNhMzU2ZDhmZSIsImlhdCI6MTYzNTk1MjAwNX0.i6-z8TZEK-oZf9jGHH1m_IP0InIcOfD31YXYgCTBivg	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1293/5588ab44-e270-42d0-a8cf-db0b297b8ff9/stream/hls', 'preset': 'mp3_0_0', 'duration': 131690, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:1293/5588ab44-e270-42d0-a8cf-db0b297b8ff9/stream/progressive', 'preset': 'mp3_0_0', 'duration': 131690, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
5			True	0	2019-08-05T13:03:45Z		False	0	390	390	all		False	661364822	track		2019-08-05T13:03:48Z	all-rights-reserved	0	music-box	https://soundcloud.com/hannes/music-box	655	True					0		public	finished	True	soundcloud:source=android-record	Music box	single-track	https://api.soundcloud.com/tracks/661364822	soundcloud:tracks:661364822	12		https://wave.sndcdn.com/jA4rd7zWmxj0_m.json	2019-08-05T13:03:45Z	soundcloud:system-playlists:track-stations:661364822	track-stations:661364822	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IiIsImlhdCI6MTYzNTk1MjAwOH0.vBezwfaiCMrsWy6wrTJsp0nl6RdOZW5Uw32qlFKMtIQ	NOT_APPLICABLE	ALLOW	"[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:661364822/33822a74-f961-457d-a42f-264fc9935a1d/stream/hls', 'preset': 'mp3_0_0', 'duration': 390, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:661364822/33822a74-f961-457d-a42f-264fc9935a1d/stream/progressive', 'preset': 'mp3_0_0', 'duration': 390, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:661364822/d160f714-fbe8-4ea4-b5bb-27631f987b8b/stream/hls', 'preset': 'opus_0_0', 'duration': 365, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/ogg; codecs=""opus""'}, 'quality': 'sq'}]"											
6			True	6	2013-01-31T11:32:56Z		True	213	71556	71556	all		True	77239780	track		2018-10-30T08:13:53Z	all-rights-reserved	60	sounds-from-monday-afternoon-1	https://soundcloud.com/henrik/sounds-from-monday-afternoon-1	3479	True					11		public	finished	True	soundcloud:source=iphone-record	The Masai sings for us #2	single-track	https://api.soundcloud.com/tracks/77239780	soundcloud:tracks:77239780	16		https://wave.sndcdn.com/NQE0mazXLvRv_m.json	2013-01-31T11:32:56Z	soundcloud:system-playlists:track-stations:77239780	track-stations:77239780	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImJmZTIwNzU5LTk4NzctNDMyYi05NzllLWE3ZDBhZWEyM2IzZiIsImlhdCI6MTYzNTk1MjAxMn0.T9DS8t8RhSKste93wi27yLJC2IM_DpvUi4gh9u2v0OI	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:77239780/6c0b44cc-5529-4bda-b8d3-619868180635/stream/hls', 'preset': 'mp3_0_0', 'duration': 71556, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:77239780/6c0b44cc-5529-4bda-b8d3-619868180635/stream/progressive', 'preset': 'mp3_0_0', 'duration': 71556, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
7			True	15	2013-01-31T11:32:29Z		True	145	26881	26881	all		True	77239743	track		2019-08-28T22:25:22Z	all-rights-reserved	61	sounds-from-monday-afternoon	https://soundcloud.com/henrik/sounds-from-monday-afternoon	1983	True					11		public	finished	True	soundcloud:source=iphone-record	The Masai sings for us #1	single-track	https://api.soundcloud.com/tracks/77239743	soundcloud:tracks:77239743	16		https://wave.sndcdn.com/F47oB2cTDvfi_m.json	2013-01-31T11:32:29Z	soundcloud:system-playlists:track-stations:77239743	track-stations:77239743	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImNiZjRiYmRlLTQ3MzEtNDEzZi1iNmMxLTRkNWU4NGM2NGEyYyIsImlhdCI6MTYzNTk1MjAxMn0.iiifeDtPjLwtZWhMRTLbZzbjzGc7pArH91kuDa1d-bA	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:77239743/19ffe0ec-b352-49ce-8a6e-eb97d3e9b86b/stream/hls', 'preset': 'mp3_0_0', 'duration': 26881, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:77239743/19ffe0ec-b352-49ce-8a6e-eb97d3e9b86b/stream/progressive', 'preset': 'mp3_0_0', 'duration': 26881, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
8	https://i1.sndcdn.com/artworks-000023307790-bzlkti-large.jpg		True	12	2012-05-11T10:27:55Z	Our intro from last weekends gig at Trädgården in Stockholm	True	103	10112	10112	all		True	46029778	track		2012-05-14T11:13:29Z	all-rights-reserved	73	rekonstruction	https://soundcloud.com/henrik/rekonstruction	4717	True					28		public	finished	True		Rekonstruction	single-track	https://api.soundcloud.com/tracks/46029778	soundcloud:tracks:46029778	16		https://wave.sndcdn.com/JJ0lw2C7931V_m.json	2012-05-11T10:27:55Z	soundcloud:system-playlists:track-stations:46029778	track-stations:46029778	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6IjU0OGZiOWM1LTgyMWMtNDYwNC05Zjg2LWFlMDNmZDUyMmU3MCIsImlhdCI6MTYzNTk1MjAxMn0.s_hS_p2m7wy41eRKIj4V6d_Daabto5BL21iqtkB92kE	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:46029778/0039067d-eb02-4380-a2e6-c197bd71620c/stream/hls', 'preset': 'mp3_0_0', 'duration': 10112, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:46029778/0039067d-eb02-4380-a2e6-c197bd71620c/stream/progressive', 'preset': 'mp3_0_0', 'duration': 10112, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
9	https://i1.sndcdn.com/artworks-000022593313-amm4m6-large.jpg		True	4	2012-05-01T11:38:56Z		True	74	41863	41863	all		True	44943333	track		2012-09-15T16:56:12Z	all-rights-reserved	23	schffumuzak-at-readmill-hq	https://soundcloud.com/henrik/schffumuzak-at-readmill-hq	1865	True					4		public	finished	True	soundcloud:source=iphone-record geo:lat=52.521462 geo:lon=13.387688 foursquare:venue=4d73e7c9ec07548104239dbf	Schffumuzak at Readmill HQ	single-track	https://api.soundcloud.com/tracks/44943333	soundcloud:tracks:44943333	16		https://wave.sndcdn.com/9QxJSvnxojcF_m.json	2012-05-01T11:38:56Z	soundcloud:system-playlists:track-stations:44943333	track-stations:44943333	eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJnZW8iOiJWTiIsInN1YiI6IiIsInJpZCI6ImJmZmNiOTk4LTU2Y2UtNDZmZC1hNGM5LTE4ODg5YWRjY2IyOSIsImlhdCI6MTYzNTk1MjAxMn0.PEOPYD8bpPpAGsgApisBUVQFtzRW6HRpTI7erhqi0vg	NOT_APPLICABLE	ALLOW	[{'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:44943333/8d427cfe-0af2-4584-a228-dcdd657dbde6/stream/hls', 'preset': 'mp3_0_0', 'duration': 41863, 'snipped': False, 'format': {'protocol': 'hls', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}, {'url': 'https://api-v2.soundcloud.com/media/soundcloud:tracks:44943333/8d427cfe-0af2-4584-a228-dcdd657dbde6/stream/progressive', 'preset': 'mp3_0_0', 'duration': 41863, 'snipped': False, 'format': {'protocol': 'progressive', 'mime_type': 'audio/mpeg'}, 'quality': 'sq'}]											
