Song name	            tên của bài hát
Duration	            thời lượng bài hát
Publisher	            người đăng bài hát(user)
Release date 		    ngày đăng bài hát
Album title		    tựa đề album của bài hát
Listens		            số lượt nghe
Likes		            số lượt thích
Reposts		            số lượt repost lại của bài hát đó
Comments	            số lượt comment
Share			    share link của bài hát
Grene		            thể loại nhạc	
Picture_url	            avatar của bài hát	
Description	            mô tả của bài hát do user đăng
Copy Link	            copy đường dẫn của bài hát
Download count	            số lượt tải bài hát
avatar_url	            Đường dẫn đến ản đại diện của user
Availability		    trạng thái của bài hát(public, private, scheduled)
User Name 		    tên của user
Followers_count	            Số lượt theo dõi của user
Tracks_count		    Số track của user
Last_modified	            Lần chỉnh sửa cuối cùng của bài hát
