skill,group_skills,title,role,short_role,,,,,,,,,
Vision AI,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud GPUs,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Translation,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AutoML Tables,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Speech-to-Text,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AI Platform-Deep Learning VM Image,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud TPU,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Natural Language,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Dialogflow,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Text-to-Speech,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Deep Learning Containers,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud Inference API,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AI Platform-Notebooks,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud AI Building Blocks,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AI Hub,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Video AI,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
AI Science and Platform,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Cloud AutoML,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Form Recogniser,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Ink Recogniser,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Immersive Reader,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Azure Open Datasets,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Translator Speech,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Speech Translation Technology,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Bing News Search,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Anomaly Detector,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Bing Video Search,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Text Analytics,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
Bing Autosuggest,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer,CLI,,,,,,,,,
