skill,group_skills,title,role
Vision AI,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud GPUs,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Translation,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
AutoML Tables,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Speech-to-Text,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
AI Platform-Deep Learning VM Image,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud TPU,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Natural Language,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Dialogflow,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Text-to-Speech,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Deep Learning Containers,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud Inference API,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
AI Platform-Notebooks,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud AI Building Blocks,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
AI Hub,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Video AI,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
AI Science and Platform,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Cloud AutoML,AI and Machine Learning,Google Cloud Engineer,Cloud Computing Infrastructure Engineer
Form Recogniser,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Ink Recogniser,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Immersive Reader,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Open Datasets,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Translator Speech,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Speech Translation Technology,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Bing News Search,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Anomaly Detector,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Bing Video Search,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Text Analytics,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Bing Autosuggest,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Bing Visual Search,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Machine Learning Studio,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Azure Machine Learning service,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Language Understanding,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Translator Text,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
QnA Maker,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Bing Custom Search,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Bing Spell Check,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Text to Speech,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
Speech-to-Text Library and Technique,Bing and Machine Learning,Azure Cloud Engineer,Cloud Computing Infrastructure Engineer
